PMAID,name,lng,lat,Adult Fitness Equipment,Art in the Park,Baseball/Softball Fields,Basketball Courts,Dog Off Leash Areas,Drinking fountains,Fire Pits,Fishing piers,Football Fields,Gardens,Grills,Hand Carry Boat Launches,Motorized Boat Launches,Picnic Sites,Play Area,Restrooms,Skate Park,Soccer Fields,Spray Parks,Swimming Beaches,Tennis Courts,Track Fields,Trails,Views,Volleyball Courts,Wading Pools
309,Denny Park,-122.341049,47.61913,,yes,,,yes,yes,,,,,,,,,yes,,,,,,,,,,,
310,Discovery Park,-122.415282,47.66083,,,,yes,,yes,,,,,,,,,yes,yes,,,,,yes,,yes,yes,,
3917,Don Armeni Park,-122.382295,47.59274,,,,,,yes,,,,,,,yes,yes,,yes,,,,,,,,yes,,
395,Dr. Blanche Lavizzo Park,-122.304179,47.600278,,,,,,yes,,,,,yes,,,,yes,yes,,,,,,,,,,
433,Dr. Jose Rizal Park,-122.318094,47.593859,,yes,,,yes,yes,,,,,yes,,,yes,yes,yes,,,,,,,yes,yes,,
705,Duwamish Waterway Park,-122.319694,47.531156,,,,,,,,,,,yes,yes,,,,,,,,,,,,yes,,
458,E.C. Hughes Playground,-122.369545,47.532805,,,yes,yes,,,,,,,yes,,,,yes,yes,,yes,,,,,,,,yes
374,East Montlake Park,-122.301441,47.646662,,,,,,,,,,,,,,,,,,,,,,,,,,
4241,East Portal Viewpoint,-122.287893,47.590222,,,,,,,,,,,,,,,,,,,,,,,,yes,,
329,East Queen Anne Playground,-122.353786,47.636139,,,yes,,,yes,,,,,,,,,yes,yes,,yes,,,,,,,,yes
3977,Eastlake Triangle,-122.328918,47.62841,,,,,,,,,,,,,,,,,,,,,,,,,,
4012,Eastmont Place,-122.405566,47.637689,,,,,,,,,,,,,,,,,,,,,,,,yes,,
1000003,Eddie Vine Boat Ramp,-122.403454,47.686852,,,,,,,,,,,,,,,,,,,,,,,,,,
318,Ella Bailey Park,-122.39106,47.640584,,,,,,yes,,,,,yes,,,,yes,,,,,,,,,yes,,
3920,Emma Schmitz Memorial Overlook,-122.40712,47.562898,,,,,,yes,,,,,,,,,,,,,,,,,,yes,,
1653,Endolyne Park,-122.39438,47.514542,,,,,,,,,,,,,,,,,,,,,,,,,,
4454,Ercolini Park,-122.394275,47.515021,,,,,,,,,,,,,,,yes,,,,,,,,,,,
452,Fairmount Playfield,-122.380549,47.554041,,,yes,,,yes,,,,,,,,,yes,yes,,yes,,,,,,,,
2975,Fairview Park,-122.325368,47.647413,,,,,,,,,,,,yes,,,,,,,,,,,,yes,,
4155,Fairview Walkway,-122.328967,47.630501,,,,,,,,,,,,yes,,,,,,,,,,,,,,
3149,Fauntleroy Creek Ravine,-122.392498,47.522599,,yes,,,,,,,,,,,,,,,,,,,,,,,,
453,Fauntleroy Park,-122.383222,47.5192,,,,,,,,,,,,,,,,,,,,,,,yes,,,
3921,Fauntleroy Place,-122.379834,47.562715,,,,,,,,,,,,,,,,,,,,,,,,,,
413,Ferdinand Street Boat Ramp,-122.264912,47.561358,,,,,,,,,,,yes,yes,,yes,,,,,,,,,,,,
351,Firehouse Mini Park,-122.308558,47.608448,,,,,,yes,,,,,,,,,yes,,,,,,,,,,,
3910,First Hill Park,-122.325512,47.611906,,,,,,yes,,,,,,,,,,,,,,,,,,,,
3948,Fletcher Place,-122.261484,47.519093,,,,,,,,,,,,,,,,,,,,,,,,,,
363,Flo Ware Park,-122.295868,47.599557,,,,yes,,,,,,,,,,,yes,,,,,,,,,,,
312,Freeway Park - Jim Ellis Freeway Park,-122.330904,47.609472,,yes,,,,,,,,,,,,,,,,,,,,,,,,
4011,Fremont Canal Park,-122.357864,47.651802,,yes,,,,,,,,,,,,,,,,,,,,,,yes,,
4424,Fremont Peak Park,-122.356671,47.661108,,,,,,,,,,,,,,,,,,,,,,,,yes,,
392,Frink Park,-122.290256,47.599506,,,,,,,,,,,,,,,,,,,,,,,yes,,,
287,Froula Playground,-122.313978,47.680538,,yes,,,,,,,,,,,,,yes,,,,,,yes,,,,,
353,Garfield Playfield,-122.301412,47.607098,,yes,yes,,,yes,,,yes,,yes,,,,yes,yes,,,,,yes,,,,,
293,Gas Works Park,-122.334906,47.645639,,yes,,,,yes,,,,,yes,,,yes,yes,yes,,,,,,,,yes,,
409,Genesee Park and Playfield,-122.278744,47.564856,,,,,yes,yes,,,,,yes,,,yes,yes,yes,,yes,,,,,yes,,,
410,Georgetown Playfield,-122.321396,47.55162,,,yes,yes,,yes,,,,,,,,,yes,yes,,yes,yes,,yes,,,,,
3759,Gerber Park,-122.296568,47.607709,,,,,,,,,,,,,,,,,,,,,,,,,,
242,Gilman Playground,-122.369684,47.667292,,,yes,yes,,yes,,,,,,,,,yes,yes,,yes,,,yes,,,,,yes
243,Golden Gardens Park,-122.403454,47.686852,,yes,,,yes,yes,yes,yes,,,yes,yes,yes,yes,yes,yes,,,,,,,yes,yes,yes,
354,Grand Army of the Republic Cemetery,-122.316261,47.636461,,,,,,,,,,,,,,,,,,,,,,,,,,
307,Green Lake Park,-122.330394,47.678938,,yes,yes,yes,,yes,,yes,,,yes,yes,,,yes,yes,,yes,,yes,yes,,,,,yes
4408,Greenwood Park,-122.350647,47.693048,,,,,,yes,,,,,,,,,yes,yes,,,,,,,,,,
245,Greenwood Triangle,-122.361032,47.668902,,,,,,,,,,,,,,,,,,,,,,,,,,
4157,Greg Davis Park,-122.366001,47.55437,,,,,,,,,,,,,,,,,,,,,,,,,,
454,Hamilton Viewpoint Park,-122.38907,47.590748,,,,,,yes,,,,,,,,,,,,,,,,,,yes,,
355,Harborview Park,-122.323693,47.603014,,,,,,,,,,,,,,,,,,,,,,,,,,
356,Harrison Ridge Greenbelt,-122.290339,47.619711,,,,,,,,,,,,,,,,,,,,,,,,,,
3695,Harvard-Miller/Roanoke Annex,-122.321643,47.641091,,,,,,,,,,,,,,,,,,,,,,,,,,
4412,Herring's House Park (T'ul'altx),-122.349545,47.561514,,,,,,,,,,,,,,,,,,,,,,,,yes,,
456,Hiawatha Playfield,-122.384965,47.578272,yes,,yes,yes,,yes,,,yes,,,,,,yes,yes,,yes,,,yes,,,,,yes
3983,Highland Drive Parkway,-122.353337,47.629736,,,,,,,,,,,,,,,,,,,,,,,,,,
457,Highland Park Playground,-122.349034,47.52738,,yes,yes,,,yes,,,,,,,,,yes,yes,,yes,yes,,yes,,,,,
3979,Highland Place,-122.355466,47.629656,,,,,,,,,,,,,,,,,,,,,,,,,,
358,Hing Hay Park,-122.325435,47.598609,yes,yes,,,,yes,,,,,,,,yes,,,,,,,,,,,,
4413,Hitt's Hill Park,-122.28455,47.554207,,,,,,,,,,,,,,,,,,,,,,,yes,,,
4426,Homer Harris Park,-122.300994,47.617309,,,,,,,,,,,yes,,,,yes,,,,,,,,,yes,,
43,Horiuchi Park,-122.318982,47.603132,,,,,,,,,,,,,,,,,,,,,,,,yes,,
3927,Horton Hill Corridor,-122.287187,47.573846,,,,,,,,,,,,,,,,,,,,,,,,,,
359,Howell Park,-122.280313,47.617518,,,,,,,,,,,,,,,,,,,,,,,,yes,,
4456,Hubbard Homestead,-122.324674,47.709964,yes,,,,,,,,,,,,,,,,yes,,,,,,,,,
4032,Hunter Boulevard,-122.285153,47.573877,,,,,,,,,,,,,,,,,,,,,,,,,,
439,Hutchinson Playground,-122.260062,47.514312,,,yes,yes,,yes,,,,,,,,,yes,yes,,yes,,,yes,,,,,
3905,Hyde Place,-122.282887,47.632304,,,,,,,,,,,,,,,,,,,,,,,,,,
4446,I-5 Colonnade,-122.323409,47.634898,,yes,,,yes,,,,,,,,,,,,,,,,,,,yes,,
3887,Interbay Athletic Complex,-122.379191,47.647239,,,yes,,,yes,,,yes,,,,,,,yes,,yes,,,,,,,,
313,Interbay Golf,-122.378455,47.643753,,,,,,,,,,,,,,,,,,,,,,,,,,
3023,Interlaken Park,-122.308316,47.636257,,,,,,,,,,,,,,,,,,,,,,,yes,,,
364,International Children's Park,-122.323412,47.596897,,yes,,,,yes,,,,,,,,,yes,,,,,,,,,,,
4001,Inverness Ravine Park,-122.280809,47.691145,,,,,,,,,,,,,,,,,,,,,,,,,,
327,Jackson Park Golf Course,-122.319103,47.729254,,yes,,,,,,,,,,,,,,,,,,,,,yes,,,
1000393,Japanese Garden,-122.2952,47.627312,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Jefferson Park,-122.311441,47.568067,,yes,yes,yes,,yes,,,,,,,,yes,yes,yes,yes,yes,yes,,yes,,yes,yes,,
4153,Jefferson Park Golf Course,-122.305242,47.567202,,,,,,yes,,,,,,,,,,,,,,,,,,,,
3121,Jimi Hendrix Park,-122.300842,47.588907,,,,,,,,,,,,,,,,,,,,,,,,,,
429,"John C. Little, Sr. Park",-122.286686,47.539048,yes,,,yes,,yes,,,,,yes,,,yes,yes,yes,,,yes,,,,,,,
4244,Judge Charles M. Stokes Overlook,-122.306962,47.591632,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Judkins Park and Playfield,-122.303951,47.592425,,,yes,yes,,,,,yes,,,,,yes,yes,yes,yes,yes,yes,,yes,,,,,
4455,Junction Plaza,-122.385491,47.561204,,,,,,,,,,,,,,,,,,,,,,,,,,
3122,Katie Black's Garden,-122.317642,47.590421,,,,,,,,,,yes,,,,,,,,,,,,,,,,
342,Kerry Park,-122.359874,47.629023,,yes,,yes,,yes,,,,,,,,,yes,,,,,,,,,yes,,
3880,Keystone Place,-122.333769,47.670304,,,,,,,,,,,,,,,,,,,,,,,,,,
459,Kilbourne Park,-122.388277,47.52133,,,,,,,,,,,,,,,,,,,,,,,,,,
4480,Kingfisher Natural Area on Thornton Creek,-122.312411,47.704889,,,,,,,,,,,,,,,,,,,,,,,,,,
314,Kinnear Park,-122.367207,47.627317,,,,,yes,yes,,,,,,,,,yes,yes,,,,,yes,,yes,yes,,
4468,Kirke Park,-122.368021,47.680338,,,,,,,,,,,,,,,yes,,,,,,,,,,,
246,Kiwanis Memorial Preserve Park,-122.401004,47.66197,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,
4429,Kiwanis Memorial Preserve Park,-122.403237,47.660251,,,,,,,,,,,,,,,,,,,,,,,,,,
3915,Kobe Terrace,-122.324494,47.60042,,,,,,,,,,,,,,,,,,,,,,,,,,
415,Kubota Garden,-122.266125,47.513543,,,,,,,,,,yes,,,,,,,,,,,,,,,,
333,Lake City Memorial Triangle,-122.295266,47.718819,,,,,,,,,,,,,,,,,,,,,,,,,,
487,Lake City Mini Park,-122.295875,47.71911,,,,,,,,,,,,,,,,,,,,,,,,,,
4439,Lake People Park (Xacua'bs),-122.292012,47.569133,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,
344,Lake Union Park,-122.338848,47.627015,,yes,,,,yes,,,,,,yes,,,,,,,yes,,,,,yes,,
411,Lakeridge Park,-122.247429,47.506033,,,,,,,,,,,,,,,,,,,,,,,yes,,,
