pmaid,name,lng,lat,adult_fitness_equipment,art_in_the_park,baseball/softball_fields,basketball_courts,dog_off_leash_areas,drinking_fountains,fire_pits,fishing_piers,football_fields,gardens,grills,hand_carry_boat_launches,motorized_boat_launches,picnic_sites,play_area,restrooms,skate_park,soccer_fields,spray_parks,swimming_beaches,tennis_courts,track_fields,trails,views,volleyball_courts,wading_pools
404,Cleveland Playfield,-122.315542,47.552012,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,no,no,no
3985,Coe Play Park,-122.365952,47.640108,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
3922,College Street Park,-122.294616,47.582697,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
260,College Street Ravine,-122.395546,47.583406,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
405,Colman Park,-122.288612,47.58547,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no
406,Colman Playground,-122.301957,47.587625,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no
4034,Columbia Park,-122.287394,47.559792,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no
308,Commodore Park,-122.40014,47.66538,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no
4017,Corliss Place,-122.330874,47.665198,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
295,Cormorant Cove,-122.412089,47.570984,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no
4462,Cottage Grove Park,-122.365311,47.554364,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4438,Counterbalance Park: An Urban Oasis,-122.356323,47.625683,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
483,Cowen Park,-122.313072,47.672596,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,yes,no,no,no
4018,Crescent Place,-122.333029,47.684317,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4070,Crown Hill Glen,-122.381394,47.693703,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4469,Crown Hill Park,-122.373976,47.696071,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no
4400,Daejeon Park,-122.312163,47.59192,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no
499,Dahl Playfield,-122.299309,47.685267,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,yes
575,Dakota Place Park,-122.387164,47.566844,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
331,David Rodgers Park,-122.359484,47.644135,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no
4082,Day Street Boat Ramp,-122.285154,47.59026,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no
408,Dearborn Park,-122.296225,47.553389,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no
450,Delridge Playfield,-122.364371,47.562842,yes,yes,yes,yes,no,yes,no,no,no,no,yes,no,no,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,yes
3980,Denny Blaine Lake Park,-122.284838,47.61833,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
3982,Denny Blaine Park,-122.280548,47.62011,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no
309,Denny Park,-122.341049,47.61913,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
310,Discovery Park,-122.415282,47.66083,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,no,yes,yes,no,no
3917,Don Armeni Park,-122.382295,47.59274,no,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,yes,no,no
395,Dr. Blanche Lavizzo Park,-122.304179,47.600278,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no
433,Dr. Jose Rizal Park,-122.318094,47.593859,no,yes,no,no,yes,yes,no,no,no,no,yes,no,no,yes,yes,yes,no,no,no,no,no,no,yes,yes,no,no
705,Duwamish Waterway Park,-122.319694,47.531156,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no
458,E.C. Hughes Playground,-122.369545,47.532805,no,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,yes
